season,team,player_0,player_1,player_2,player_3
0,27,33,100,414,624
0,27,414,624,902,924
0,27,33,624,902,924
0,27,33,414,902,924
0,27,33,414,624,924
0,27,33,414,624,902
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,414,427,624,924
0,27,100,427,624,924
0,27,100,414,624,924
0,27,100,414,427,924
0,27,100,414,427,624
0,27,414,427,624,924
0,27,33,427,624,924
0,27,33,414,624,924
0,27,33,414,427,924
0,27,33,414,427,624
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,414,427,902,924
0,27,100,427,902,924
0,27,100,414,902,924
0,27,100,414,427,924
0,27,100,414,427,902
0,27,543,598,624,902
0,27,414,598,624,902
0,27,414,543,624,902
0,27,414,543,598,902
0,27,414,543,598,624
0,27,598,624,902,924
0,27,543,624,902,924
0,27,543,598,902,924
0,27,543,598,624,924
0,27,543,598,624,902
0,27,598,624,902,924
0,27,33,624,902,924
0,27,33,598,902,924
0,27,33,598,624,924
0,27,33,598,624,902
0,27,598,624,902,924
0,27,33,624,902,924
0,27,33,598,902,924
0,27,33,598,624,924
0,27,33,598,624,902
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,100,414,902,924
0,27,33,414,902,924
0,27,33,100,902,924
0,27,33,100,414,924
0,27,33,100,414,902
0,27,100,414,624,902
0,27,33,414,624,902
0,27,33,100,624,902
0,27,33,100,414,902
0,27,33,100,414,624
0,27,100,624,807,902
0,27,33,624,807,902
0,27,33,100,807,902
0,27,33,100,624,902
0,27,33,100,624,807
0,27,598,624,807,902
0,27,33,624,807,902
0,27,33,598,807,902
0,27,33,598,624,902
0,27,33,598,624,807
0,27,414,598,624,664
0,27,100,598,624,664
0,27,100,414,624,664
0,27,100,414,598,664
0,27,100,414,598,624
0,27,624,664,807,902
0,27,33,664,807,902
0,27,33,624,807,902
0,27,33,624,664,902
0,27,33,624,664,807
0,27,100,624,807,902
0,27,33,624,807,902
0,27,33,100,807,902
0,27,33,100,624,902
0,27,33,100,624,807
0,27,100,624,807,902
0,27,33,624,807,902
0,27,33,100,807,902
0,27,33,100,624,902
0,27,33,100,624,807
0,27,598,624,807,902
0,27,33,624,807,902
0,27,33,598,807,902
0,27,33,598,624,902
0,27,33,598,624,807
0,27,598,664,807,902
0,27,100,664,807,902
0,27,100,598,807,902
0,27,100,598,664,902
0,27,100,598,664,807
0,27,414,624,664,902
0,27,33,624,664,902
0,27,33,414,664,902
0,27,33,414,624,902
0,27,33,414,624,664
0,33,134,255,698,853
0,33,125,255,698,853
0,33,125,134,698,853
0,33,125,134,255,853
0,33,125,134,255,698
0,33,134,255,445,853
0,33,125,255,445,853
0,33,125,134,445,853
0,33,125,134,255,853
0,33,125,134,255,445
0,33,254,255,445,692
0,33,134,255,445,692
0,33,134,254,445,692
0,33,134,254,255,692
0,33,134,254,255,445
0,33,255,692,698,789
0,33,254,692,698,789
0,33,254,255,698,789
0,33,254,255,692,789
0,33,254,255,692,698
0,33,255,692,698,789
0,33,254,692,698,789
0,33,254,255,698,789
0,33,254,255,692,789
0,33,254,255,692,698
0,33,255,692,698,789
0,33,134,692,698,789
0,33,134,255,698,789
0,33,134,255,692,789
0,33,134,255,692,698
0,33,255,692,698,789
0,33,134,692,698,789
0,33,134,255,698,789
0,33,134,255,692,789
0,33,134,255,692,698
0,33,134,255,698,853
0,33,125,255,698,853
0,33,125,134,698,853
0,33,125,134,255,853
0,33,125,134,255,698
0,33,255,698,848,853
0,33,125,698,848,853
0,33,125,255,848,853
0,33,125,255,698,853
0,33,125,255,698,848
0,33,254,255,692,698
0,33,134,255,692,698
0,33,134,254,692,698
0,33,134,254,255,698
0,33,134,254,255,692
0,33,254,255,692,698
0,33,134,255,692,698
0,33,134,254,692,698
0,33,134,254,255,698
0,33,134,254,255,692
0,33,255,692,698,789
0,33,134,692,698,789
0,33,134,255,698,789
0,33,134,255,692,789
0,33,134,255,692,698
0,10,453,711,715,731
0,10,52,711,715,731
0,10,52,453,715,731
0,10,52,453,711,731
0,10,52,453,711,715
0,10,688,715,731,983
0,10,453,715,731,983
0,10,453,688,731,983
0,10,453,688,715,983
0,10,453,688,715,731
0,10,711,715,731,983
0,10,453,715,731,983
0,10,453,711,731,983
0,10,453,711,715,983
0,10,453,711,715,731
0,10,453,711,715,731
0,10,52,711,715,731
0,10,52,453,715,731
0,10,52,453,711,731
0,10,52,453,711,715
0,10,688,711,715,731
0,10,52,711,715,731
0,10,52,688,715,731
0,10,52,688,711,731
0,10,52,688,711,715
0,10,453,711,731,983
0,10,63,711,731,983
0,10,63,453,731,983
0,10,63,453,711,983
0,10,63,453,711,731
0,10,63,711,715,731
0,10,52,711,715,731
0,10,52,63,715,731
0,10,52,63,711,731
0,10,52,63,711,715
0,10,688,711,715,731
0,10,52,711,715,731
0,10,52,688,715,731
0,10,52,688,711,731
0,10,52,688,711,715
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,100,624,807,924
0,27,33,624,807,924
0,27,33,100,807,924
0,27,33,100,624,924
0,27,33,100,624,807
0,27,598,624,807,924
0,27,100,624,807,924
0,27,100,598,807,924
0,27,100,598,624,924
0,27,100,598,624,807
0,27,598,624,807,924
0,27,100,624,807,924
0,27,100,598,807,924
0,27,100,598,624,924
0,27,100,598,624,807
0,27,598,624,664,902
0,27,414,624,664,902
0,27,414,598,664,902
0,27,414,598,624,902
0,27,414,598,624,664
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,598,807,902,924
0,27,427,807,902,924
0,27,427,598,902,924
0,27,427,598,807,924
0,27,427,598,807,902
0,27,598,664,902,924
0,27,100,664,902,924
0,27,100,598,902,924
0,27,100,598,664,924
0,27,100,598,664,902
0,27,598,807,902,924
0,27,100,807,902,924
0,27,100,598,902,924
0,27,100,598,807,924
0,27,100,598,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,598,807,902,924
0,27,33,807,902,924
0,27,33,598,902,924
0,27,33,598,807,924
0,27,33,598,807,902
0,27,598,664,807,902
0,27,100,664,807,902
0,27,100,598,807,902
0,27,100,598,664,902
0,27,100,598,664,807
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,598,807,902,924
0,27,33,807,902,924
0,27,33,598,902,924
0,27,33,598,807,924
0,27,33,598,807,902
0,27,427,598,664,924
0,27,100,598,664,924
0,27,100,427,664,924
0,27,100,427,598,924
0,27,100,427,598,664
0,28,444,685,971,1036
0,28,389,685,971,1036
0,28,389,444,971,1036
0,28,389,444,685,1036
0,28,389,444,685,971
0,28,444,538,919,971
0,28,416,538,919,971
0,28,416,444,919,971
0,28,416,444,538,971
0,28,416,444,538,919
0,28,538,890,919,971
0,28,416,890,919,971
0,28,416,538,919,971
0,28,416,538,890,971
0,28,416,538,890,919
0,28,444,538,971,1036
0,28,389,538,971,1036
0,28,389,444,971,1036
0,28,389,444,538,1036
0,28,389,444,538,971
0,28,538,685,890,971
0,28,416,685,890,971
0,28,416,538,890,971
0,28,416,538,685,971
0,28,416,538,685,890
0,28,538,685,890,971
0,28,416,685,890,971
0,28,416,538,890,971
0,28,416,538,685,971
0,28,416,538,685,890
0,28,444,685,890,971
0,28,416,685,890,971
0,28,416,444,890,971
0,28,416,444,685,971
0,28,416,444,685,890
0,28,444,685,890,971
0,28,416,685,890,971
0,28,416,444,890,971
0,28,416,444,685,971
0,28,416,444,685,890
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,598,807,902,924
0,27,33,807,902,924
0,27,33,598,902,924
0,27,33,598,807,924
0,27,33,598,807,902
0,27,414,624,902,924
0,27,33,624,902,924
0,27,33,414,902,924
0,27,33,414,624,924
0,27,33,414,624,902
0,27,414,807,902,924
0,27,33,807,902,924
0,27,33,414,902,924
0,27,33,414,807,924
0,27,33,414,807,902
0,27,624,807,902,924
0,27,598,807,902,924
0,27,598,624,902,924
0,27,598,624,807,924
0,27,598,624,807,902
0,27,598,624,807,902
0,27,100,624,807,902
0,27,100,598,807,902
0,27,100,598,624,902
0,27,100,598,624,807
0,27,598,624,902,924
0,27,33,624,902,924
0,27,33,598,902,924
0,27,33,598,624,924
0,27,33,598,624,902
0,27,598,624,902,924
0,27,33,624,902,924
0,27,33,598,902,924
0,27,33,598,624,924
0,27,33,598,624,902
0,27,598,624,807,924
0,27,33,624,807,924
0,27,33,598,807,924
0,27,33,598,624,924
0,27,33,598,624,807
0,27,414,807,902,924
0,27,33,807,902,924
0,27,33,414,902,924
0,27,33,414,807,924
0,27,33,414,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,624,807,902,924
0,27,100,807,902,924
0,27,100,624,902,924
0,27,100,624,807,924
0,27,100,624,807,902
0,27,427,624,807,902
0,27,33,624,807,902
0,27,33,427,807,902
0,27,33,427,624,902
0,27,33,427,624,807
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,598,807,902,924
0,27,100,807,902,924
0,27,100,598,902,924
0,27,100,598,807,924
0,27,100,598,807,902
0,27,598,624,902,924
0,27,100,624,902,924
0,27,100,598,902,924
0,27,100,598,624,924
0,27,100,598,624,902
0,27,598,624,807,902
0,27,427,624,807,902
0,27,427,598,807,902
0,27,427,598,624,902
0,27,427,598,624,807
0,27,427,598,624,807
0,27,33,598,624,807
0,27,33,427,624,807
0,27,33,427,598,807
0,27,33,427,598,624
0,27,100,624,807,924
0,27,33,624,807,924
0,27,33,100,807,924
0,27,33,100,624,924
0,27,33,100,624,807
0,27,100,624,807,924
0,27,33,624,807,924
0,27,33,100,807,924
0,27,33,100,624,924
0,27,33,100,624,807
0,27,598,624,902,924
0,27,100,624,902,924
0,27,100,598,902,924
0,27,100,598,624,924
0,27,100,598,624,902
0,27,598,624,902,924
0,27,427,624,902,924
0,27,427,598,902,924
0,27,427,598,624,924
0,27,427,598,624,902
0,27,598,624,902,924
0,27,427,624,902,924
0,27,427,598,902,924
0,27,427,598,624,924
0,27,427,598,624,902
0,27,598,624,807,902
0,27,427,624,807,902
0,27,427,598,807,902
0,27,427,598,624,902
0,27,427,598,624,807
0,27,598,624,807,902
0,27,427,624,807,902
0,27,427,598,807,902
0,27,427,598,624,902
0,27,427,598,624,807
0,27,427,598,624,807
0,27,33,598,624,807
0,27,33,427,624,807
0,27,33,427,598,807
0,27,33,427,598,624
0,27,100,427,624,807
0,27,33,427,624,807
0,27,33,100,624,807
0,27,33,100,427,807
0,27,33,100,427,624
0,27,100,414,624,924
0,27,33,414,624,924
0,27,33,100,624,924
0,27,33,100,414,924
0,27,33,100,414,624
0,27,543,664,779,807
0,27,414,664,779,807
0,27,414,543,779,807
0,27,414,543,664,807
0,27,414,543,664,779
0,1,625,790,886,960
0,1,118,790,886,960
0,1,118,625,886,960
0,1,118,625,790,960
0,1,118,625,790,886
0,1,250,351,790,808
0,1,14,351,790,808
0,1,14,250,790,808
0,1,14,250,351,808
0,1,14,250,351,790
0,1,250,351,790,808
0,1,14,351,790,808
0,1,14,250,790,808
0,1,14,250,351,808
0,1,14,250,351,790
0,1,790,866,886,960
0,1,14,866,886,960
0,1,14,790,886,960
0,1,14,790,866,960
0,1,14,790,866,886
0,1,790,866,886,960
0,1,14,866,886,960
0,1,14,790,886,960
0,1,14,790,866,960
0,1,14,790,866,886
0,1,790,866,886,960
0,1,118,866,886,960
0,1,118,790,886,960
0,1,118,790,866,960
0,1,118,790,866,886
0,1,790,866,886,960
0,1,14,866,886,960
0,1,14,790,886,960
0,1,14,790,866,960
0,1,14,790,866,886
0,1,790,866,886,960
0,1,14,866,886,960
0,1,14,790,886,960
0,1,14,790,866,960
0,1,14,790,866,886
0,1,790,866,886,960
0,1,118,866,886,960
0,1,118,790,886,960
0,1,118,790,866,960
0,1,118,790,866,886
0,25,363,421,586,961
0,25,294,421,586,961
0,25,294,363,586,961
0,25,294,363,421,961
0,25,294,363,421,586
0,25,226,363,586,974
0,25,133,363,586,974
0,25,133,226,586,974
0,25,133,226,363,974
0,25,133,226,363,586
0,25,363,421,586,961
0,25,226,421,586,961
0,25,226,363,586,961
0,25,226,363,421,961
0,25,226,363,421,586
0,25,363,421,586,961
0,25,226,421,586,961
0,25,226,363,586,961
0,25,226,363,421,961
0,25,226,363,421,586
0,25,363,421,961,974
0,25,226,421,961,974
0,25,226,363,961,974
0,25,226,363,421,974
0,25,226,363,421,961
0,25,133,226,586,974
0,25,92,226,586,974
0,25,92,133,586,974
0,25,92,133,226,974
0,25,92,133,226,586
0,25,133,294,969,974
0,25,92,294,969,974
0,25,92,133,969,974
0,25,92,133,294,974
0,25,92,133,294,969
0,16,431,450,457,996
0,16,65,450,457,996
0,16,65,431,457,996
0,16,65,431,450,996
0,16,65,431,450,457
0,16,285,431,457,838
0,16,31,431,457,838
0,16,31,285,457,838
0,16,31,285,431,838
0,16,31,285,431,457
0,16,431,450,704,838
0,16,165,450,704,838
0,16,165,431,704,838
0,16,165,431,450,838
0,16,165,431,450,704
0,16,431,450,704,838
0,16,165,450,704,838
0,16,165,431,704,838
0,16,165,431,450,838
0,16,165,431,450,704
0,16,431,450,704,838
0,16,165,450,704,838
0,16,165,431,704,838
0,16,165,431,450,838
0,16,165,431,450,704
0,16,431,450,704,838
0,16,165,450,704,838
0,16,165,431,704,838
0,16,165,431,450,838
0,16,165,431,450,704
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,598,624,902,924
0,27,100,624,902,924
0,27,100,598,902,924
0,27,100,598,624,924
0,27,100,598,624,902
0,27,427,598,624,902
0,27,100,598,624,902
0,27,100,427,624,902
0,27,100,427,598,902
0,27,100,427,598,624
0,27,427,598,624,902
0,27,100,598,624,902
0,27,100,427,624,902
0,27,100,427,598,902
0,27,100,427,598,624
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,427,624,902,924
0,27,100,624,902,924
0,27,100,427,902,924
0,27,100,427,624,924
0,27,100,427,624,902
0,27,100,427,624,807
0,27,33,427,624,807
0,27,33,100,624,807
0,27,33,100,427,807
0,27,33,100,427,624
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,29,505,580,700,713
0,29,103,580,700,713
0,29,103,505,700,713
0,29,103,505,580,713
0,29,103,505,580,700
0,29,572,580,700,854
0,29,505,580,700,854
0,29,505,572,700,854
0,29,505,572,580,854
0,29,505,572,580,700
0,29,572,580,700,854
0,29,505,580,700,854
0,29,505,572,700,854
0,29,505,572,580,854
0,29,505,572,580,700
0,29,572,700,713,899
0,29,505,700,713,899
0,29,505,572,713,899
0,29,505,572,700,899
0,29,505,572,700,713
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,598,624,902,924
0,27,33,624,902,924
0,27,33,598,902,924
0,27,33,598,624,924
0,27,33,598,624,902
0,27,598,807,902,924
0,27,33,807,902,924
0,27,33,598,902,924
0,27,33,598,807,924
0,27,33,598,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,427,598,624,807
0,27,100,598,624,807
0,27,100,427,624,807
0,27,100,427,598,807
0,27,100,427,598,624
0,27,427,598,624,664
0,27,100,598,624,664
0,27,100,427,624,664
0,27,100,427,598,664
0,27,100,427,598,624
0,27,427,598,624,664
0,27,100,598,624,664
0,27,100,427,624,664
0,27,100,427,598,664
0,27,100,427,598,624
0,27,427,624,664,779
0,27,414,624,664,779
0,27,414,427,664,779
0,27,414,427,624,779
0,27,414,427,624,664
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,543,598,624,807
0,27,100,598,624,807
0,27,100,543,624,807
0,27,100,543,598,807
0,27,100,543,598,624
0,27,543,598,624,807
0,27,100,598,624,807
0,27,100,543,624,807
0,27,100,543,598,807
0,27,100,543,598,624
0,27,598,807,902,924
0,27,100,807,902,924
0,27,100,598,902,924
0,27,100,598,807,924
0,27,100,598,807,902
0,27,624,807,902,924
0,27,100,807,902,924
0,27,100,624,902,924
0,27,100,624,807,924
0,27,100,624,807,902
0,27,624,807,902,924
0,27,100,807,902,924
0,27,100,624,902,924
0,27,100,624,807,924
0,27,100,624,807,902
0,27,543,624,902,924
0,27,100,624,902,924
0,27,100,543,902,924
0,27,100,543,624,924
0,27,100,543,624,902
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,598,624,902,924
0,27,33,624,902,924
0,27,33,598,902,924
0,27,33,598,624,924
0,27,33,598,624,902
0,27,543,598,624,807
0,27,100,598,624,807
0,27,100,543,624,807
0,27,100,543,598,807
0,27,100,543,598,624
0,27,100,543,807,924
0,27,33,543,807,924
0,27,33,100,807,924
0,27,33,100,543,924
0,27,33,100,543,807
0,27,624,807,902,924
0,27,33,807,902,924
0,27,33,624,902,924
0,27,33,624,807,924
0,27,33,624,807,902
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,598,624,902,924
0,27,33,624,902,924
0,27,33,598,902,924
0,27,33,598,624,924
0,27,33,598,624,902
0,27,598,624,807,902
0,27,100,624,807,902
0,27,100,598,807,902
0,27,100,598,624,902
0,27,100,598,624,807
0,27,543,598,624,807
0,27,100,598,624,807
0,27,100,543,624,807
0,27,100,543,598,807
0,27,100,543,598,624
0,27,543,624,807,882
0,27,414,624,807,882
0,27,414,543,807,882
0,27,414,543,624,882
0,27,414,543,624,807
0,27,427,543,664,882
0,27,414,543,664,882
0,27,414,427,664,882
0,27,414,427,543,882
0,27,414,427,543,664
0,7,263,277,455,530
0,7,246,277,455,530
0,7,246,263,455,530
0,7,246,263,277,530
0,7,246,263,277,455
0,7,325,365,455,530
0,7,263,365,455,530
0,7,263,325,455,530
0,7,263,325,365,530
0,7,263,325,365,455
0,7,246,277,455,530
0,7,59,277,455,530
0,7,59,246,455,530
0,7,59,246,277,530
0,7,59,246,277,455
0,7,267,325,455,530
0,7,263,325,455,530
0,7,263,267,455,530
0,7,263,267,325,530
0,7,263,267,325,455
0,7,277,325,455,530
0,7,267,325,455,530
0,7,267,277,455,530
0,7,267,277,325,530
0,7,267,277,325,455
0,7,267,277,455,530
0,7,263,277,455,530
0,7,263,267,455,530
0,7,263,267,277,530
0,7,263,267,277,455
0,7,267,277,455,530
0,7,263,277,455,530
0,7,263,267,455,530
0,7,263,267,277,530
0,7,263,267,277,455
0,7,267,277,455,530
0,7,263,277,455,530
0,7,263,267,455,530
0,7,263,267,277,530
0,7,263,267,277,455
0,27,100,807,902,924
0,27,33,807,902,924
0,27,33,100,902,924
0,27,33,100,807,924
0,27,33,100,807,902
0,27,598,807,902,924
0,27,100,807,902,924
0,27,100,598,902,924
0,27,100,598,807,924
0,27,100,598,807,902
0,27,598,624,902,924
0,27,100,624,902,924
0,27,100,598,902,924
0,27,100,598,624,924
0,27,100,598,624,902
0,27,598,624,807,902
0,27,100,624,807,902
0,27,100,598,807,902
0,27,100,598,624,902
0,27,100,598,624,807
0,27,598,624,807,902
0,27,100,624,807,902
0,27,100,598,807,902
0,27,100,598,624,902
0,27,100,598,624,807
0,27,543,807,902,924
0,27,33,807,902,924
