season,team,player_0,player_1,player_2,player_3
0,13,192,315,900,956
0,13,192,315,871,956
0,13,192,315,871,900
0,13,192,315,900,956
0,13,182,315,900,956
0,13,182,192,900,956
0,13,182,192,315,956
0,13,182,192,315,900
0,13,182,192,900,956
0,13,161,192,900,956
0,13,161,182,900,956
0,13,161,182,192,956
0,13,161,182,192,900
0,13,182,212,315,871
0,13,161,212,315,871
0,13,161,182,315,871
0,13,161,182,212,871
0,13,161,182,212,315
0,13,182,315,803,871
0,13,161,315,803,871
0,13,161,182,803,871
0,13,161,182,315,871
0,13,161,182,315,803
0,13,315,803,900,956
0,13,182,803,900,956
0,13,182,315,900,956
0,13,182,315,803,956
0,13,182,315,803,900
0,13,192,315,900,956
0,13,182,315,900,956
0,13,182,192,900,956
0,13,182,192,315,956
0,13,182,192,315,900
0,13,182,192,900,956
0,13,161,192,900,956
0,13,161,182,900,956
0,13,161,182,192,956
0,13,161,182,192,900
0,13,182,192,900,956
0,13,161,192,900,956
0,13,161,182,900,956
0,13,161,182,192,956
0,13,161,182,192,900
0,30,705,839,953,963
0,30,113,839,953,963
0,30,113,705,953,963
0,30,113,705,839,963
0,30,113,705,839,953
0,30,113,335,953,963
0,30,86,335,953,963
0,30,86,113,953,963
0,30,86,113,335,963
0,30,86,113,335,953
0,30,335,657,953,963
0,30,113,657,953,963
0,30,113,335,953,963
0,30,113,335,657,963
0,30,113,335,657,953
0,30,335,657,953,963
0,30,113,657,953,963
0,30,113,335,953,963
0,30,113,335,657,963
0,30,113,335,657,953
0,30,335,657,953,963
0,30,121,657,953,963
0,30,121,335,953,963
0,30,121,335,657,963
0,30,121,335,657,953
0,30,121,839,953,963
0,30,113,839,953,963
0,30,113,121,953,963
0,30,113,121,839,963
0,30,113,121,839,953
0,30,121,335,953,963
0,30,113,335,953,963
0,30,113,121,953,963
0,30,113,121,335,963
0,30,113,121,335,953
0,30,335,657,953,963
0,30,113,657,953,963
0,30,113,335,953,963
0,30,113,335,657,963
0,30,113,335,657,953
0,27,100,624,902,924
0,27,33,624,902,924
0,27,33,100,902,924
0,27,33,100,624,924
0,27,33,100,624,902
0,27,414,624,664,902
0,27,100,624,664,902
0,27,100,414,664,902
0,27,100,414,624,902
0,27,100,414,624,664
0,27,100,414,624,902
0,27,33,414,624,902
0,27,33,100,624,902
0,27,33,100,414,902
0,27,33,100,414,624
0,27,100,414,624,902
0,27,33,414,624,902
0,27,33,100,624,902
0,27,33,100,414,902
