season,home_team,away_team,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
2012,LAL,DEN,Andrew Bynum,Derek Fisher,Jason Kapono,Kobe Bryant,Pau Gasol,Andre Miller,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,-1
2012,LAL,DEN,Andrew Bynum,Derek Fisher,Jason Kapono,Kobe Bryant,Pau Gasol,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,1
2012,LAL,DEN,Andrew Bynum,Kobe Bryant,Matt Barnes,Pau Gasol,Steve Blake,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,1
2012,LAL,DEN,Andrew Bynum,Kobe Bryant,Matt Barnes,Pau Gasol,Steve Blake,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Ty Lawson,1
2012,LAL,DEN,Jason Kapono,Josh McRoberts,Metta World Peace,Pau Gasol,Steve Blake,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Ty Lawson,-1
2012,LAL,DEN,Jason Kapono,Josh McRoberts,Metta World Peace,Pau Gasol,Steve Blake,Al Harrington,Andre Miller,Danilo Gallinari,Rudy Fernandez,Timofey Mozgov,-1
2012,LAL,DEN,Andrew Bynum,Jason Kapono,Josh McRoberts,Metta World Peace,Steve Blake,Al Harrington,Andre Miller,Danilo Gallinari,Rudy Fernandez,Timofey Mozgov,1
2012,LAL,DEN,Andrew Bynum,Jason Kapono,Josh McRoberts,Metta World Peace,Steve Blake,Al Harrington,Andre Miller,Arron Afflalo,Rudy Fernandez,Timofey Mozgov,-1
2012,LAL,DEN,Andrew Bynum,Jason Kapono,Josh McRoberts,Kobe Bryant,Steve Blake,Al Harrington,Andre Miller,Arron Afflalo,Rudy Fernandez,Timofey Mozgov,1
2012,LAL,DEN,Jason Kapono,Josh McRoberts,Kobe Bryant,Pau Gasol,Steve Blake,Al Harrington,Andre Miller,Arron Afflalo,Rudy Fernandez,Timofey Mozgov,-1
2012,LAL,DEN,Derek Fisher,Jason Kapono,Josh McRoberts,Kobe Bryant,Pau Gasol,Al Harrington,Andre Miller,Arron Afflalo,Rudy Fernandez,Timofey Mozgov,-1
2012,LAL,DEN,Andrew Bynum,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,Al Harrington,Danilo Gallinari,Nene Hilario,Rudy Fernandez,Ty Lawson,-1
2012,LAL,DEN,Andrew Bynum,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Ty Lawson,1
2012,DEN,LAL,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,Andrew Bynum,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,-1
2012,DEN,LAL,Al Harrington,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,Andrew Bynum,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,1
