season,team,player_0,player_1,player_2,player_3,target_player
7,23,607,553,203,793,462
7,23,462,553,203,793,607
7,23,462,607,203,793,553
7,23,462,607,553,793,203
7,23,462,607,553,203,793
7,23,607,553,793,936,462
7,23,462,553,793,936,607
7,23,462,607,793,936,553
7,23,462,607,553,936,793
7,23,462,607,553,793,936
7,23,607,734,293,936,813
7,23,813,734,293,936,607
7,23,813,607,293,936,734
7,23,813,607,734,936,293
7,23,813,607,734,293,936
7,23,553,203,703,793,462
7,23,462,203,703,793,553
7,23,462,553,703,793,203
7,23,462,553,203,793,703
7,23,462,553,203,703,793
7,23,553,203,703,793,462
7,23,462,203,703,793,553
7,23,462,553,703,793,203
7,23,462,553,203,793,703
7,23,462,553,203,703,793
7,23,293,553,203,703,462
7,23,462,553,203,703,293
7,23,462,293,203,703,553
7,23,462,293,553,703,203
7,23,462,293,553,203,703
7,23,553,203,703,793,462
7,23,462,203,703,793,553
7,23,462,553,703,793,203
7,23,462,553,203,793,703
7,23,462,553,203,703,793
7,31,495,595,646,347,197
7,31,197,595,646,347,495
7,31,197,495,646,347,595
7,31,197,495,595,347,646
7,31,197,495,595,646,347
7,31,595,646,945,347,495
7,31,495,646,945,347,595
7,31,495,595,945,347,646
7,31,495,595,646,347,945
7,31,495,595,646,945,347
7,31,495,336,790,945,829
7,31,829,336,790,945,495
7,31,829,495,790,945,336
7,31,829,495,336,945,790
7,31,829,495,336,790,945
7,31,829,336,790,945,21
7,31,21,336,790,945,829
7,31,21,829,790,945,336
7,31,21,829,336,945,790
7,31,21,829,336,790,945
7,31,495,595,646,347,197
7,31,197,595,646,347,495
7,31,197,495,646,347,595
7,31,197,495,595,347,646
7,31,197,495,595,646,347
7,31,829,336,790,945,21
7,31,21,336,790,945,829
7,31,21,829,790,945,336
7,31,21,829,336,945,790
7,31,21,829,336,790,945
7,31,829,495,790,945,21
7,31,21,495,790,945,829
7,31,21,829,790,945,495
7,31,21,829,495,945,790
7,31,21,829,495,790,945
7,31,495,790,595,646,21
7,31,21,790,595,646,495
7,31,21,495,595,646,790
7,31,21,495,790,646,595
7,31,21,495,790,595,646
7,31,829,850,790,945,889
7,31,889,850,790,945,829
7,31,889,829,790,945,850
